recipe_title,ingredient_number,seq,token_name,pos,dep
Tiramisù,1,1,Mascarpone,PROPN,ROOT
Tiramisù,1,2,750,NUM,nummod
Tiramisù,1,3,g,X,punct
Tiramisù,2,1,Uova,PROPN,ROOT
Tiramisù,2,2,(,PUNCT,punct
Tiramisù,2,3,freschissime,NOUN,appos
Tiramisù,2,4,",",PUNCT,punct
Tiramisù,2,5,circa,ADV,advmod
Tiramisù,2,6,5,NUM,nummod
Tiramisù,2,7,medie,NOUN,conj
Tiramisù,2,8,),PUNCT,punct
Tiramisù,2,9,260,NUM,nummod
Tiramisù,2,10,g,CCONJ,punct
Tiramisù,3,1,Savoiardi,VERB,ROOT
Tiramisù,3,2,250,NUM,nummod
Tiramisù,3,3,g,CCONJ,punct
Tiramisù,4,1,Zucchero,NOUN,ROOT
Tiramisù,4,2,120,NUM,nummod
Tiramisù,4,3,g,CCONJ,punct
Tiramisù,5,1,Caffè,PROPN,ROOT
Tiramisù,5,2,(,PUNCT,punct
Tiramisù,5,3,della,ADP,case
Tiramisù,5,4,moka,PROPN,nmod
Tiramisù,5,5,",",PUNCT,punct
Tiramisù,5,6, ,SPACE,dep
Tiramisù,5,7,zuccherato,VERB,acl
Tiramisù,5,8,a,ADP,case
Tiramisù,5,9,piacere,NOUN,obl
Tiramisù,5,10,),PUNCT,punct
Tiramisù,5,11,300,NUM,conj
Tiramisù,5,12,g,NOUN,nmod
Tiramisù,6,1,Cacao,NOUN,ROOT
Tiramisù,6,2,amaro,ADJ,amod
Tiramisù,6,3,in,ADP,case
Tiramisù,6,4,polvere,NOUN,nmod
Tiramisù,6,5,q.b,NOUN,nummod
Tiramisù,6,6,.,PUNCT,punct
Crepe alla Nutella,1,1,Uova,NOUN,ROOT
Crepe alla Nutella,1,2,medie,ADJ,amod
Crepe alla Nutella,1,3,3,NUM,nummod
Crepe alla Nutella,2,1,Farina,PROPN,ROOT
Crepe alla Nutella,2,2,00,NUM,flat:name
Crepe alla Nutella,2,3,250,NUM,flat:name
Crepe alla Nutella,2,4,g,NUM,punct
Crepe alla Nutella,3,1,Latte,NOUN,ROOT
Crepe alla Nutella,3,2,intero,ADJ,amod
Crepe alla Nutella,3,3,500,NUM,nummod
Crepe alla Nutella,3,4,ml,ADV,punct
Crepe alla Nutella,4,1,Burro,PROPN,ROOT
Crepe alla Nutella,4,2,40,NUM,nummod
Crepe alla Nutella,4,3,g,X,punct
Crepe alla Nutella,5,1,Burro,PROPN,ROOT
Crepe alla Nutella,5,2,q.b,NOUN,flat:name
Crepe alla Nutella,5,3,.,PUNCT,punct
Crepe alla Nutella,6,1,Nutella,VERB,ROOT
Crepe alla Nutella,6,2,420,NUM,nummod
Crepe alla Nutella,6,3,g,X,punct
Crepe alla Nutella,7,1,Zucchero,NOUN,ROOT
Crepe alla Nutella,7,2,a,ADP,case
Crepe alla Nutella,7,3,velo,NOUN,advmod
Crepe alla Nutella,7,4,q.b,NOUN,obj
Crepe alla Nutella,7,5,.,PUNCT,punct
Torta tenerina,1,1,Cioccolato,VERB,ROOT
Torta tenerina,1,2,fondente,ADV,advmod
Torta tenerina,1,3,al,ADP,case
Torta tenerina,1,4,55,NUM,nummod
Torta tenerina,1,5,%,SYM,obl
Torta tenerina,1,6,200,NUM,nummod
Torta tenerina,1,7,g,CCONJ,punct
Torta tenerina,2,1,Burro,PROPN,ROOT
Torta tenerina,2,2,100,NUM,nummod
Torta tenerina,2,3,g,CCONJ,punct
Torta tenerina,3,1,Uova,NOUN,ROOT
Torta tenerina,3,2,medie,ADJ,amod
Torta tenerina,3,3,4,NUM,nummod
Torta tenerina,4,1,Zucchero,NOUN,ROOT
Torta tenerina,4,2,150,NUM,nummod
Torta tenerina,4,3,g,CCONJ,punct
Torta tenerina,5,1,Farina,PROPN,ROOT
Torta tenerina,5,2,00,ADP,flat:name
Torta tenerina,5,3,50,NUM,flat
Torta tenerina,5,4,g,CCONJ,punct
Torta tenerina,6,1,Zucchero,NOUN,ROOT
Torta tenerina,6,2,a,ADP,case
Torta tenerina,6,3,velo,NOUN,advmod
Torta tenerina,6,4,q.b,NOUN,obj
Torta tenerina,6,5,.,PUNCT,punct
Crepe dolci e salate (ricetta base),1,1,Uova,PROPN,ROOT
Crepe dolci e salate (ricetta base),1,2,(,PUNCT,punct
Crepe dolci e salate (ricetta base),1,3,medie,ADJ,nmod
Crepe dolci e salate (ricetta base),1,4,),PUNCT,punct
Crepe dolci e salate (ricetta base),1,5,3,NUM,punct
Crepe dolci e salate (ricetta base),2,1,Farina,PROPN,ROOT
Crepe dolci e salate (ricetta base),2,2,00,NUM,flat:name
Crepe dolci e salate (ricetta base),2,3,250,NUM,flat:name
Crepe dolci e salate (ricetta base),2,4,g,NUM,punct
Crepe dolci e salate (ricetta base),3,1,Latte,NOUN,ROOT
Crepe dolci e salate (ricetta base),3,2,intero,ADJ,amod
Crepe dolci e salate (ricetta base),3,3,500,NUM,amod
Crepe dolci e salate (ricetta base),3,4,g,DET,punct
Crepe dolci e salate (ricetta base),4,1,Burro,PROPN,ROOT
Crepe dolci e salate (ricetta base),4,2,40,NUM,nummod
Crepe dolci e salate (ricetta base),4,3,g,X,punct
Crepe dolci e salate (ricetta base),5,1,Burro,PROPN,ROOT
Crepe dolci e salate (ricetta base),5,2,q.b,NOUN,flat:name
Crepe dolci e salate (ricetta base),5,3,.,PUNCT,punct
Pancake,1,1,Farina,PROPN,ROOT
Pancake,1,2,00,NUM,flat:name
Pancake,1,3,125,NUM,nummod
Pancake,1,4,g,CCONJ,punct
Pancake,2,1,Latte,NOUN,ROOT
Pancake,2,2,intero,ADJ,amod
Pancake,2,3,200,NUM,nmod
Pancake,2,4,g,X,acl
Pancake,3,1,Burro,PROPN,ROOT
Pancake,3,2,25,NUM,flat:name
Pancake,3,3,g,PROPN,punct
Pancake,4,1,Zucchero,NOUN,ROOT
Pancake,4,2,15,NUM,nummod
Pancake,4,3,g,NOUN,nmod
Pancake,5,1,Uova,NOUN,ROOT
Pancake,5,2,medie,ADJ,amod
Pancake,5,3,2,NUM,nummod
Pancake,6,1,Lievito,VERB,ROOT
Pancake,6,2,in,ADP,case
Pancake,6,3,polvere,NOUN,obl
Pancake,6,4,per,ADP,case
Pancake,6,5,dolci,NOUN,nmod
Pancake,6,6,6,NUM,nummod
Pancake,6,7,g,NUM,dep
Pancake,7,1,Sale,VERB,ROOT
Pancake,7,2,fino,ADP,case
Pancake,7,3,1,NUM,nummod
Pancake,7,4,pizzico,NOUN,amod
Pancake,8,1,Burro,PROPN,ROOT
Pancake,8,2,q.b,NOUN,flat:name
Pancake,8,3,.,PUNCT,punct
Pancake,9,1,Sciroppo,NOUN,ROOT
