Ingrediente,Quanto pesa una tazza,Quanto pesa un cucchiaio,Quanto pesa un cucchiaino
Acqua,237 g,"14,8 g",5 g
Amido di mais,130 g,8 g,"2,7 g"
Arachidi,100 g,"6,2 g",2 g
Avena,155 g,"9,8 g","3,3 g"
Bicarbonato,--,"14,8 g",5 g
Burro di arachidi,260 g,"16,3 g","5,5 g"
Burro / margarina,230g,"14,2 g","4,8 g"
Cacao in polvere,90 g,"5,5 g","1,9 g"
Carota grattugiata,135 g,"8,4 g","2,8 g"
Cereali di riso soffiato,15 g,"0,9 g","0,3 g"
Cornflakes,28 g,"1,8 g","0,6 g"
Farina 00,135 g,"8,4 g","2,9 g"
Farina di cocco,80 g,5 g,"1,7 g"
Farina di mais,125 g,"7,8 g","2,7 g"
Farina integrale,150 g,"9,3 g","3,2 g"
Farina Manitoba,130 g,"8,1 g","2,8 g"
Fecola di patate,160 g,"10,1 g","3,4 g"
Gocce di cioccolato,170 g,"10,5 g","3,6 g"
Latte,245 g,"15,3 g","5,2 g"
Lievito di birra,--,"9,6 g","3,3 g"
Lievito per dolci,--,"14,8 g",5 g
Mandorle,100 g,"6,2 g",2 g
Miele,330 g,"20,7 g",7 g
Noci,100 g,"6,2 g",2 g
Olio,217 g,"13,5 g","4,6 g"
Pepe,--,"6,4 g","2,2 g"
Riso bianco,200 g,"12,6 g","4,3 g"
Riso parboiled,190 g,"11,7 g",4 g
Sale fino,--,"19,2 g","6,5 g"
Sale grosso,--,"22,2 g","7,5 g"
Pangrattato,120 g,"7,5 g","2,6 g"
Polpa di pomodoro,260 g,"16,3 g","5,4 g"
Uva passa,133 g,"8,3 g","2,8 g"
Yogurt bianco,230 g,"14,2 g","4,8 g"
Zucchero a velo,115 g,"7,2 g","2,5 g"
Zucchero di canna,215 g,"13,3 g","4,5 g"
Zucchero semolato,200 g,"12,6 g","4,3 g"
Zucchina grattugiata,150 g,"9,8 g","3,3 g"
